project,operator,measured_date,start_time,end_time,battery_index,battery_serial,cycle_count
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,2025-08-30 17:35:01.501000+00:00,7,4ERKL696G30ZK5,83
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,2025-08-30 17:35:01.501000+00:00,6,4ERPLCQEA2DGWX,58
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,2025-08-30 17:35:01.501000+00:00,2,4ERPLCQEA2DH08,54
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,2025-08-30 17:35:01.501000+00:00,1,4ERPLCQEA2DHC1,56
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,2025-08-30 17:35:01.501000+00:00,4,4ERPLCRDA0E3WT,49
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,2025-08-30 17:35:01.501000+00:00,3,4ERPLCRDA0E3Z5,45
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,2025-08-30 17:35:01.501000+00:00,5,4ERPLCREA2DJEM,55
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,2025-08-30 17:40:51.943000+00:00,7,4ERKL696G30ZK5,91
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,2025-08-30 17:40:51.943000+00:00,6,4ERPLCQEA2DGWX,63
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,2025-08-30 17:40:51.943000+00:00,2,4ERPLCQEA2DH08,58
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,2025-08-30 17:40:51.943000+00:00,1,4ERPLCQEA2DHC1,61
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,2025-08-30 17:40:51.943000+00:00,4,4ERPLCRDA0E3WT,56
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,2025-08-30 17:40:51.943000+00:00,3,4ERPLCRDA0E3Z5,51
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,2025-08-30 17:40:51.943000+00:00,5,4ERPLCREA2DJEM,61
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,2025-08-30 18:06:22.783000+00:00,7,4ERKL696G30ZK5,95
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,2025-08-30 18:06:22.783000+00:00,6,4ERPLCQEA2DGWX,69
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,2025-08-30 18:06:22.783000+00:00,2,4ERPLCQEA2DH08,67
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,2025-08-30 18:06:22.783000+00:00,1,4ERPLCQEA2DHC1,65
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,2025-08-30 18:06:22.783000+00:00,4,4ERPLCRDA0E3WT,62
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,2025-08-30 18:06:22.783000+00:00,3,4ERPLCRDA0E3Z5,55
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,2025-08-30 18:06:22.783000+00:00,5,4ERPLCREA2DJEM,67
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,2025-08-30 18:10:33.945000+00:00,7,4ERKL696G30ZK5,98
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,2025-08-30 18:10:33.945000+00:00,6,4ERPLCQEA2DGWX,74
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,2025-08-30 18:10:33.945000+00:00,2,4ERPLCQEA2DH08,71
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,2025-08-30 18:10:33.945000+00:00,1,4ERPLCQEA2DHC1,71
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,2025-08-30 18:10:33.945000+00:00,4,4ERPLCRDA0E3WT,68
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,2025-08-30 18:10:33.945000+00:00,3,4ERPLCRDA0E3Z5,61
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,2025-08-30 18:10:33.945000+00:00,5,4ERPLCREA2DJEM,71
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,2025-09-19 08:49:20.152000+00:00,7,4ERKL696G30ZK5,107
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,2025-09-19 08:49:20.152000+00:00,6,4ERPLCQEA2DGWX,83
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,2025-09-19 08:49:20.152000+00:00,2,4ERPLCQEA2DH08,80
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,2025-09-19 08:49:20.152000+00:00,1,4ERPLCQEA2DHC1,82
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,2025-09-19 08:49:20.152000+00:00,4,4ERPLCRDA0E3WT,78
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,2025-09-19 08:49:20.152000+00:00,3,4ERPLCRDA0E3Z5,71
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,2025-09-19 08:49:20.152000+00:00,5,4ERPLCREA2DJEM,81
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,7,4ERKL696G30ZK5,115
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,6,4ERPLCQEA2DGWX,92
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,2,4ERPLCQEA2DH08,91
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,1,4ERPLCQEA2DHC1,93
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,4,4ERPLCRDA0E3WT,90
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,3,4ERPLCRDA0E3Z5,80
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,5,4ERPLCREA2DJEM,89
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,7,4ERKL696G30ZK5,125
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,6,4ERPLCQEA2DGWX,103
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,2,4ERPLCQEA2DH08,98
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,1,4ERPLCQEA2DHC1,101
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,4,4ERPLCRDA0E3WT,100
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,3,4ERPLCRDA0E3Z5,88
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,5,4ERPLCREA2DJEM,99
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,7,4ERKL696G30ZK5,138
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,6,4ERPLCQEA2DGWX,116
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,2,4ERPLCQEA2DH08,111
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,1,4ERPLCQEA2DHC1,118
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,4,4ERPLCRDA0E3WT,112
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,3,4ERPLCRDA0E3Z5,104
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,5,4ERPLCREA2DJEM,112
